"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","posNeg","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-09-16",188802,1202,18961,6308,1517,30278,390624,81976741,625601,2090,1651,88574524,6597783,40021,2525573,56,88574524,665622
"2020-09-15",187600,1031,18847,6310,1491,30327,389107,81351140,649588,2071,1572,87908902,6557762,35445,2495127,56,87908902,685033
"2020-09-14",186569,403,18748,6233,937,29867,387616,80701552,371748,2061,1507,87223869,6522317,33864,2477942,56,87223869,405612
"2020-09-13",186166,389,18692,6234,592,29816,386679,80329804,612437,2056,1562,86818257,6488453,34453,2450184,56,86818257,646890
"2020-09-12",185777,810,18648,6454,1076,30662,386087,79717367,806722,2051,1619,86171367,6454000,42087,2438903,56,86171367,848809
"2020-09-11",184967,1018,18549,6379,1553,31421,385011,78910645,721070,2031,1715,85322558,6411913,44927,2417878,56,85322558,765997
"2020-09-10",183949,1170,18453,6524,1532,32419,383458,78189575,576461,2008,1925,84556561,6366986,37581,2403511,56,84556561,614042
"2020-09-09",182779,1089,18322,6646,2060,32562,381926,77613114,553429,1994,1903,83942519,6329405,30983,2387479,56,83942519,584412
"2020-09-08",181690,358,18189,6542,959,32263,379866,77059685,486487,1975,1879,83358107,6298422,22223,2359111,56,83358107,508710
"2020-09-07",181332,225,18156,6630,492,31999,378907,76573198,559616,1967,1879,82849397,6276199,28682,2333583,56,82849397,588298
"2020-09-06",181107,449,18125,6699,489,32361,378415,76013582,702709,1960,1912,82261099,6247517,33117,2316020,56,82261099,735826
"2020-09-05",180658,918,18089,6766,1287,33502,377926,75310873,761056,1956,1956,81525273,6214400,44905,2302203,56,81525273,805961
"2020-09-04",179740,998,18012,6924,1239,34099,376639,74549817,850612,1943,1995,80719312,6169495,51591,2283454,56,80719312,902203
"2020-09-03",178742,1070,17894,6908,1536,34676,375400,73699205,679230,1928,2042,79817109,6117904,44714,2266957,56,79817109,723944
"2020-09-02",177672,1032,17784,7087,1647,35569,373864,73019975,614433,1918,2024,79093165,6073190,30603,2231757,56,79093165,645036
"2020-09-01",176640,1027,17655,7090,1837,35271,372217,72405542,656103,1902,2042,78448129,6042587,42433,2202682,56,78448129,698536
"2020-08-31",175613,366,17537,7051,816,35349,370380,71749439,648999,1877,2077,77749593,6000154,31406,2184825,56,77749593,680405
"2020-08-30",175247,475,17439,7268,680,35726,369564,71100440,700008,1870,2055,77069188,5968748,39501,2153963,56,77069188,739509
"2020-08-29",174772,1015,17401,7426,1296,36469,368884,70400432,719736,1864,2062,76329679,5929247,44501,2140631,56,76329679,764237
"2020-08-28",173757,1023,17304,7558,1595,37239,367588,69680696,725710,1856,2086,75565442,5884746,46548,2118367,56,75565442,772258
"2020-08-27",172734,1129,17181,7717,1668,37464,365993,68954986,698076,1831,2125,74793184,5838198,43984,2101326,56,74793184,742060
"2020-08-26",171605,1298,17046,7763,1873,38411,364325,68256910,631672,1809,2142,74051124,5794214,44053,2084465,56,74051124,675725
"2020-08-25",170307,1147,16920,7851,1999,38762,362452,67625238,597782,1789,2163,73375399,5750161,36379,2053699,56,73375399,634161
"2020-08-24",169160,343,16787,7836,1049,38657,360453,67027456,648010,1764,2118,72741238,5713782,34643,2020774,56,72741238,682653
"2020-08-23",168817,572,16697,7951,774,39029,359404,66379446,577947,1737,2131,72058585,5679139,37566,1997782,56,72058585,615513
"2020-08-22",168245,1029,16657,8218,1537,39911,358630,65801499,710293,1736,2204,71443072,5641573,46236,1985493,56,71443072,756529
"2020-08-21",167216,1123,16563,8357,1817,40951,357093,65091206,697054,1730,2286,70686543,5595337,46561,1965056,56,70686543,743615
"2020-08-20",166093,1134,16487,8483,2010,41988,355276,64394152,634078,1716,2335,69942928,5548776,43758,1946866,56,69942928,677836
"2020-08-19",164959,1420,16377,8744,2032,43330,353266,63760074,644823,1705,2371,69265092,5505018,44955,1924875,56,69265092,689778
"2020-08-18",163539,1196,16123,8866,2273,43747,351234,63115251,616859,1695,2468,68575314,5460063,40795,1889170,56,68575314,657654
"2020-08-17",162343,407,15985,8871,1267,43485,348961,62498392,625846,1678,2447,67917660,5419268,37880,1865580,56,67917660,663726
"2020-08-16",161936,619,15924,8947,649,44028,347694,61872546,740599,1665,2481,67253934,5381388,42487,1833096,56,67253934,783086
"2020-08-15",161317,1219,15891,9101,2031,44794,347045,61131947,693310,1663,2526,66470848,5338901,56149,1818546,56,66470848,749459
"2020-08-14",160098,1216,15764,9277,2212,45776,345014,60438637,798904,1665,2549,65721389,5282752,55636,1796326,56,65721389,854540
"2020-08-13",158882,1163,15629,9489,2685,47228,342802,59639733,843535,1649,2579,64866849,5227116,51759,1774648,56,64866849,895294
"2020-08-12",157719,1517,15524,9553,3055,47968,340117,58796198,439024,1629,2604,63971555,5175357,56134,1755225,56,63971555,495158
"2020-08-11",156202,1326,15331,9136,2715,48498,337062,58357174,698757,1612,2415,63476397,5119223,55701,1714960,56,63476397,754458
"2020-08-10",154876,426,15158,9216,1654,48635,334347,57658417,693402,1592,2533,62721939,5063522,42089,1670755,56,62721939,735491
"2020-08-09",154450,616,15081,9303,855,48902,332693,56965015,666939,1578,2507,61986448,5021433,50627,1656888,56,61986448,717566
"2020-08-08",153834,1089,15024,9654,1414,49884,331838,56298076,621980,1561,2566,61268882,4970806,53712,1643137,56,61268882,675692
"2020-08-07",152745,1333,14925,9671,8036,51153,330424,55676096,715719,1549,2617,60593190,4917094,61345,1623870,56,60593190,777064
"2020-08-06",151412,1251,14810,9977,2682,53053,322388,54960377,691399,1534,2718,59816126,4855749,54187,1598624,56,59816126,745586
"2020-08-05",150161,1346,14687,9970,2269,53281,319706,54268978,643615,1524,2719,59070540,4801562,52324,1577851,56,59070540,695939
"2020-08-04",148815,1255,14537,10208,4490,53293,317437,53625363,659553,1493,2701,58374601,4749238,51866,1528979,56,58374601,711419
"2020-08-03",147560,519,14370,10216,1724,53326,312947,52965810,692703,1463,2659,57663182,4697372,49713,1513446,56,57663182,742416
"2020-08-02",147041,498,14288,10405,817,53931,311223,52273107,643326,1448,2645,56920766,4647659,46812,1468689,56,56920766,690138
"2020-08-01",146543,1190,14227,10428,2318,54412,310406,51629781,673904,1445,2698,56230628,4600847,61101,1461885,56,56230628,735005
"2020-07-31",145353,1312,14044,10472,2627,55540,308088,50955877,657827,1437,2703,55495623,4539746,67623,1438160,56,55495623,725450
"2020-07-30",144041,1259,13875,10513,3383,56381,305461,50298050,737950,1415,2760,54770173,4472123,69418,1413957,56,54770173,807368
"2020-07-29",142782,1492,13744,10539,2934,57339,302078,49560100,789712,1400,2772,53962805,4402705,66963,1390568,56,53962805,856675
"2020-07-28",141290,1122,13559,10463,4672,57091,299144,48770388,681181,1372,2752,53106130,4335742,56448,1355363,56,53106130,737629
"2020-07-27",140168,1060,13412,10328,1690,58897,294472,48089207,707142,1356,2720,52368501,4279294,55332,1325804,56,52368501,762474
"2020-07-26",139108,559,13343,10353,1435,58621,292782,47382065,780054,1336,2723,51606027,4223962,61000,1297863,56,51606027,841054
"2020-07-25",138549,1023,13279,10380,1977,59301,291347,46602011,715969,1300,2729,50764973,4162962,64741,1279414,56,50764973,780710
"2020-07-24",137526,1176,13182,10395,3032,59682,289370,45886042,851205,1297,2711,49984263,4098221,75236,1261624,56,49984263,926441
"2020-07-23",136350,1056,12933,10414,2509,59718,286338,45034837,769521,1280,2465,49057822,4022985,71552,1233269,56,49057822,841073
"2020-07-22",135294,1171,12790,10457,2248,59596,283829,44265316,727105,1258,2440,48216749,3951433,69333,1210849,56,48216749,796438
"2020-07-21",134123,1039,12629,6711,2551,59364,281581,43538211,686361,1242,2414,47420311,3882100,63930,1182931,56,47420311,750291
"2020-07-20",133084,363,12475,6558,1647,58371,279030,42851850,654148,1223,2403,46670020,3818170,57041,1160087,56,46670020,711189
"2020-07-19",132721,527,12393,6384,944,57885,277383,42197702,715331,1216,2362,45958831,3761129,64260,1131171,56,45958831,779591
"2020-07-18",132194,872,12342,6396,2003,57645,276439,41482371,691886,1211,2343,45179240,3696869,64951,1122720,56,45179240,756837
"2020-07-17",131322,951,12243,6453,2678,57761,274436,40790485,757657,1200,2353,44422403,3631918,76842,1106844,56,44422403,834499
"2020-07-16",130371,947,12091,6359,2215,57442,271758,40032828,756287,1175,2317,43587904,3555076,71036,1090645,56,43587904,827323
"2020-07-15",129424,858,12002,6317,2416,56144,269543,39276541,703090,1166,2317,42760581,3484040,65797,1075882,56,42760581,768887
"2020-07-14",128566,736,11857,6235,2262,55565,267127,38573451,702900,1154,2263,41991694,3418243,62729,1049098,56,41991694,765629
"2020-07-13",127830,327,11749,6074,1214,53988,264865,37870551,636500,1142,2259,41226065,3355514,58091,1031939,56,41226065,694591
"2020-07-12",127503,476,11679,5930,939,52727,263651,37234051,702394,1136,2182,40531474,3297423,61312,1006326,56,40531474,763706
"2020-07-11",127027,757,11612,5939,5141,51859,262712,36531657,637755,1128,2169,39767768,3236111,62895,995576,56,39767768,700650
"2020-07-10",126270,854,11523,5896,2318,51595,257571,35893902,742929,1118,2197,39067118,3173216,66846,983185,56,39067118,809775
"2020-07-09",125416,867,11370,5845,1719,43934,255253,35150973,646844,1138,2127,38257343,3106370,59157,969111,56,38257343,706001
"2020-07-08",124549,807,11303,5874,2035,43078,253534,34504129,575559,1103,2172,37551342,3047213,62672,953420,56,37551342,638231
"2020-07-07",123742,923,11177,5832,1960,41760,251499,33928570,584171,1084,2098,36913111,2984541,51728,936476,56,36913111,635899
"2020-07-06",122819,243,11058,5684,794,39768,249539,33344399,471602,1070,2105,36277212,2932813,41918,924148,56,36277212,513520
"2020-07-05",122576,209,11010,5653,590,38764,248745,32872797,633339,1064,2080,35763692,2890895,45612,902558,56,35763692,678951
"2020-07-04",122367,306,10977,5633,871,38146,248155,32239458,577481,1063,1982,35084741,2845283,54338,894325,56,35084741,631819
"2020-07-03",122061,598,10936,5597,1435,37798,247284,31661977,654043,1059,2049,34452922,2790945,53948,883561,56,34452922,707991
"2020-07-02",121463,695,10843,5626,2003,37500,245849,31007934,608354,1041,2105,33744931,2736997,54085,875127,56,33744931,662439
"2020-07-01",120768,701,10752,5512,1438,36405,243846,30399580,589398,1027,2098,33082492,2682912,50981,823151,56,33082492,640379
"2020-06-30",120067,596,10669,5424,1582,35248,242408,29810182,580152,1008,2044,32442113,2631931,47864,813788,56,32442113,628016
"2020-06-29",119471,332,10542,5380,670,33586,240826,29230030,615988,990,2011,31814097,2584067,39813,798360,56,31814097,655801
"2020-06-28",119139,271,10473,5248,580,32476,240156,28614042,535806,983,2077,31158296,2544254,41570,778321,56,31158296,577376
"2020-06-27",118868,511,10415,5315,1057,32483,239576,28078236,555647,977,2159,30580920,2502684,43164,772465,56,30580920,598811
"2020-06-26",118357,637,10334,5283,1526,31738,238519,27522589,565494,966,2075,29982109,2459520,44543,763966,56,29982109,610037
"2020-06-25",117720,647,10257,5319,1257,31844,236993,26957095,602693,951,2214,29372072,2414977,39640,756719,56,29372072,642333
"2020-06-24",117073,724,10173,5293,1310,31102,235736,26354402,485049,934,2248,28729739,2375337,39072,747565,56,28729739,524121
"2020-06-23",116349,710,10077,5402,1257,30235,234426,25869353,469104,918,2293,28205618,2336265,33447,738952,56,28205618,502551
"2020-06-22",115639,286,10002,5323,800,28799,233169,25400249,444089,909,2299,27703067,2302818,27281,731602,56,27703067,471370
"2020-06-21",115353,294,9944,5195,514,28219,232369,24956160,496049,904,2321,27231697,2275537,27928,713537,56,27231697,523977
"2020-06-20",115059,629,9908,5229,745,27967,231855,24460111,533304,888,2380,26707720,2247609,32294,708864,56,26707720,565598
"2020-06-19",114430,655,9876,5341,1613,28615,231110,23926807,548107,884,2434,26142122,2215315,31471,698119,56,26142122,579578
"2020-06-18",113775,705,9736,5465,1040,28414,229497,23378700,491625,869,2520,25562544,2183844,27746,690692,56,25562544,519371
"2020-06-17",113070,767,9665,5613,1130,28573,228457,22887075,463168,857,2588,25043173,2156098,24001,680916,56,25043173,487169
"2020-06-16",112303,730,9590,5570,1301,28270,227327,22423907,442650,845,2594,24556004,2132097,23497,672228,56,24556004,466147
"2020-06-15",111573,381,9516,5703,543,27867,226026,21981257,415390,835,2640,24089857,2108600,18630,665059,56,24089857,434020
"2020-06-14",111192,356,9466,5749,640,27893,225483,21565867,464154,834,2716,23655837,2089970,21399,650541,56,23655837,485553
"2020-06-13",110836,694,9430,5883,1105,28450,224843,21101713,471388,830,2726,23170284,2068571,25376,645331,56,23170284,496764
"2020-06-12",110142,775,9373,6017,1245,29154,223738,20630325,599972,814,2734,22673520,2043195,23597,636111,56,22673520,623569
"2020-06-11",109367,899,9295,6074,1367,29698,222493,20030353,438062,792,2886,22049951,2019598,22153,629017,56,22049951,460215
"2020-06-10",108468,887,9225,6249,1484,30864,221126,19592291,408971,780,3020,21589736,1997445,20894,618125,56,21589736,429865
"2020-06-09",107581,902,9141,6457,1527,31183,219642,19183320,404379,771,3090,21159871,1976551,17312,609476,56,21159871,421691
"2020-06-08",106679,661,9013,6402,714,31202,218115,18778941,380221,762,3240,20738180,1959239,17209,603143,56,20738180,397430
"2020-06-07",106018,447,8957,6501,685,31408,217401,18398720,404383,753,3298,20340750,1942030,18740,590988,56,20340750,423123
"2020-06-06",105571,728,8920,6762,1017,31938,216716,17994337,521778,750,3476,19917627,1923290,23064,585470,56,19917627,544842
"2020-06-05",104843,826,8863,6920,1440,32451,215699,17472559,484686,740,3523,19372785,1900226,23400,576327,56,19372785,508086
"2020-06-04",104017,893,8787,7057,-2841,32835,214259,16987873,441895,723,3665,18864699,1876826,20880,569623,56,18864699,462775
"2020-06-03",103124,993,8688,7227,2255,33269,217100,16545978,448319,717,3749,18401924,1855946,20392,557366,56,18401924,468711
"2020-06-02",102131,962,8566,7407,1585,33933,214845,16097659,400600,710,3852,17933213,1835554,20110,541976,56,17933213,420710
"2020-06-01",101169,668,8485,7591,2796,34285,213260,15697059,393669,704,3950,17512503,1815444,20482,536339,56,17512503,414151
"2020-05-31",100501,652,8445,7626,976,34859,210464,15303390,375191,704,3669,17098352,1794962,21558,522866,56,17098352,396749
"2020-05-30",99849,932,8305,7956,1424,35732,209488,14928199,402861,698,4004,16701603,1773404,23682,494569,56,16701603,426543
"2020-05-29",98917,1184,8235,8175,1715,36999,208064,14525338,465104,689,4032,16275060,1749722,23574,484554,56,16275060,488678
"2020-05-28",97733,1231,8109,8389,1630,38069,206349,14060234,413429,676,4080,15786382,1726148,22630,478099,56,15786382,436059
"2020-05-27",96502,1321,8015,8547,1713,38373,204719,13646805,290562,666,4222,15350323,1703518,19437,391508,56,15350323,309999
"2020-05-26",95181,645,7899,8585,17320,37779,203006,13356243,291055,650,4215,15040324,1684081,16830,384902,56,15040324,307885
"2020-05-25",94536,559,7847,8472,1002,37650,185686,13065188,404718,642,4237,14732439,1667251,18691,379157,56,14732439,423409
"2020-05-24",93977,680,7801,8487,921,37695,184684,12660470,361940,639,4383,14309030,1648560,20047,366736,56,14309030,381987
"2020-05-23",93297,1063,7770,8733,1378,38614,183763,12298530,369149,638,4620,13927043,1628513,21531,361239,56,13927043,390680
"2020-05-22",92234,1341,7689,9048,4046,39989,182385,11929381,385791,633,4716,13536363,1606982,24555,350135,56,13536363,410346
"2020-05-21",90893,1394,7412,9090,4630,41191,178339,11543590,436275,616,4868,13126017,1582427,26566,298418,56,13126017,462841
"2020-05-20",89499,1399,7319,9522,1996,41762,173709,11107315,387243,613,4911,12663176,1555861,21318,294312,56,12663176,408561
"2020-05-19",88100,1326,7217,9597,1597,41872,171713,10720072,381974,606,5032,12254615,1534543,20899,289484,56,12254615,402873
"2020-05-18",86774,848,7064,9755,1157,41748,170116,10338098,335177,602,5257,11851742,1513644,21016,283178,56,11851742,356193
"2020-05-17",85926,849,7003,9932,1199,41785,168959,10002921,351570,593,5467,11495549,1492628,20034,272265,56,11495549,371604
"2020-05-16",85077,988,6945,10277,1856,43396,167760,9651351,338158,592,5529,11123945,1472594,24678,268376,56,11123945,362836
"2020-05-15",84089,1507,6890,10472,1353,44491,165904,9313193,334713,589,5746,10761109,1447916,24684,250747,56,10761109,359397
"2020-05-14",82582,1880,6795,10656,3206,45790,164551,8978480,338711,582,5940,10401712,1423232,26798,246414,56,10401712,365509
"2020-05-13",80702,1704,6713,10978,1809,46926,161345,8639769,299164,572,6156,10036203,1396434,21272,243430,56,10036203,320436
"2020-05-12",78998,1486,5595,11241,1579,47596,159536,8340605,286983,559,6352,9715767,1375162,22701,238857,56,9715767,309684
"2020-05-11",77512,892,6488,11147,1238,46552,157957,8053622,365238,551,6350,9406083,1352461,18239,232142,56,9406083,383477
"2020-05-10",76620,1036,6445,11393,1055,47163,156719,7688384,245353,547,6395,9022606,1334222,21391,215591,56,9022606,266744
"2020-05-09",75584,1445,6367,11496,1708,48768,155664,7443031,267236,543,6551,8755862,1312831,24788,211976,56,8755862,292024
"2020-05-08",74139,1798,6294,11780,6892,49992,153956,7175795,271123,531,6788,8463838,1288043,27647,198459,56,8463838,298770
"2020-05-07",72341,2752,5174,12137,3742,51683,147064,6904672,275015,529,7070,8165068,1260396,27560,194528,56,8165068,302575
"2020-05-06",69589,1950,4911,12478,2119,52773,143322,6629657,220849,449,4753,7862493,1232836,25096,189425,56,7862493,245945
"2020-05-05",67639,2452,4794,12629,1983,53455,141203,6408808,250081,439,4818,7616548,1207740,22446,189336,56,7616548,272527
"2020-05-04",65187,1035,4579,12696,1651,52634,139220,6158727,209668,430,4848,7344021,1185294,22646,186752,56,7344021,232314
"2020-05-03",64152,1231,4502,12722,1963,52857,137569,5949059,211117,425,4761,7111707,1162648,25707,179733,56,7111707,236824
"2020-05-02",62921,1564,4386,12904,2031,54278,135606,5737942,218321,375,4845,6874883,1136941,29148,174987,56,6874883,247469
"2020-05-01",61357,1777,4300,12845,9789,55122,133575,5519621,263100,376,4707,6627414,1107793,33029,163644,56,6627414,296129
"2020-04-30",59580,2140,4192,13255,2290,55114,123786,5256521,203903,373,4712,6331285,1074764,29549,154648,56,6331285,233452
"2020-04-29",57440,2713,4093,13535,3415,56206,121496,5052618,212653,365,4796,6097833,1045215,26726,147165,56,6097833,239379
"2020-04-28",54727,2072,3798,13562,2079,56255,118081,4839965,181953,195,4760,5858454,1018489,25283,139041,56,5858454,207236
"2020-04-27",52655,1270,3720,13812,3076,56191,116002,4658012,173380,195,4867,5651218,993206,22698,121323,56,5651218,196078
"2020-04-26",51385,1214,2571,14099,2192,56186,112926,4484632,179284,227,5121,5455140,970508,27311,116529,56,5455140,206595
"2020-04-25",50171,1748,2516,14414,2456,57377,110734,4305348,240717,227,5266,5248545,943197,35872,112539,56,5248545,276589
"2020-04-24",48423,1895,2468,14602,2338,57300,108278,4064631,202285,227,5187,4971956,907325,34234,101296,56,4971956,236519
"2020-04-23",46528,1791,2428,14744,2802,58989,105940,3862346,161630,227,5464,4735437,873091,31810,96921,56,4735437,193440
"2020-04-22",44737,2098,2370,15015,3087,59205,103138,3700716,295229,227,5474,4541997,841281,28955,92978,56,4541997,324184
"2020-04-21",42639,2467,2315,14941,2682,59780,100051,3405487,127063,214,5514,4217813,812326,26361,72842,56,4217813,153424
"2020-04-20",40172,1798,2193,14489,2211,56783,97369,3278424,120369,214,5567,4064389,785965,25899,69493,56,4064389,146268
"2020-04-19",38374,1772,2145,14410,2239,56526,95158,3158055,126832,214,5603,3918121,760066,27387,67205,56,3918121,154219
"2020-04-18",36602,1893,2096,14768,3563,57761,92919,3031223,118251,205,5729,3763902,732679,27906,62840,56,3763902,146157
"2020-04-17",34709,2120,2052,14890,3405,58895,89356,2912972,127342,148,6096,3617745,704773,32013,53533,56,3617745,159355
"2020-04-16",32589,2200,1834,15130,3071,59499,85951,2785630,133173,137,5940,3458390,672760,30979,48851,56,3458390,164152
"2020-04-15",30389,2544,1783,14647,4434,59940,82880,2652457,107024,223,6032,3294238,641781,30309,43435,56,3294238,137333
"2020-04-14",27845,2336,1715,14039,3282,59601,78446,2545433,126412,221,5975,3156905,611472,25709,39268,56,3156905,152121
"2020-04-13",25509,1644,1628,13632,4285,56195,75164,2419021,109349,210,6168,3004784,585763,25200,35372,56,3004784,134549
"2020-04-12",23865,1703,1455,13623,3288,55426,70879,2309672,111204,160,5986,2870235,560563,27763,34081,56,2870235,138967
"2020-04-11",22162,2055,1405,13280,2825,55572,67591,2198468,106592,154,5978,2731268,532800,30506,31567,56,2731268,137098
"2020-04-10",20107,2108,1185,12698,4934,52723,64766,2091876,124192,41,5937,2594170,502294,34383,28997,56,2594170,158575
"2020-04-09",17999,2043,924,12254,3923,50859,59832,1967684,136748,39,5794,2435595,467911,34495,24819,56,2435595,171243
"2020-04-08",15956,2010,1013,10180,4311,45141,55909,1830936,117154,216,4131,2264352,433416,30595,21102,56,2264352,147749
"2020-04-07",13946,2024,889,9821,2981,43465,51598,1713782,123604,151,4076,2116603,402821,30885,18443,56,2116603,154489
"2020-04-06",11922,1318,814,6943,2946,35856,48617,1590178,123253,147,2961,1962114,371936,29002,16554,56,1962114,152255
"2020-04-05",10604,1340,760,5677,3903,31875,45671,1466925,94299,147,652,1809859,342934,25500,14513,56,1809859,119799
"2020-04-04",9264,1482,554,5383,5086,29987,41768,1372626,196066,147,656,1690060,317434,33212,12816,56,1690060,229278
"2020-04-03",7782,1286,486,4811,4554,25472,36682,1176560,101013,147,605,1460782,284222,32076,10861,56,1460782,133089
"2020-04-02",6496,1172,456,4410,4175,22764,32128,1075547,91058,140,574,1327693,252146,28060,8586,56,1327693,119118
"2020-04-01",5324,1010,407,3937,4228,20775,27953,984489,82981,140,561,1208575,224086,25791,7084,56,1208575,108772
"2020-03-31",4314,890,236,3487,3906,18082,23725,901508,87657,,507,1099803,198295,24853,5666,56,1099803,112510
"2020-03-30",3424,589,187,3087,2536,15772,19819,813851,96706,,451,987293,173442,22042,4560,56,987293,118748
"2020-03-29",2835,521,156,2456,2775,14026,17283,717145,68187,,439,868545,151400,19581,4052,56,868545,87768
"2020-03-28",2314,538,140,2174,2425,12350,14508,648958,87375,,390,780777,131819,19692,3143,56,780777,107067
"2020-03-27",1776,406,124,1792,2563,10932,12083,561583,83781,,324,673710,112127,19128,2418,56,673710,102909
"2020-03-26",1370,320,91,1299,2499,7757,9520,477802,84311,,258,570801,92999,17720,97,56,570801,102031
"2020-03-25",1050,235,74,,1904,5062,7021,393491,71728,,167,468770,75279,12908,146,56,468770,84636
"2020-03-24",815,234,,,1180,3902,5117,321763,58695,,,384134,62371,10769,,56,384134,69464
"2020-03-23",581,101,,,914,2770,3937,263068,46894,,,314670,51602,11439,,56,314670,58333
"2020-03-22",480,146,,,1003,2155,3023,216174,36456,,,256337,40163,9125,,56,256337,45581
"2020-03-21",334,62,,,1912,1436,2020,179718,38628,,,210756,31038,6793,,56,210756,45421
"2020-03-20",272,69,,,23,1042,108,141090,30568,,,165335,24245,6147,,56,165335,36715
"2020-03-19",203,48,,,18,617,85,110522,23323,,,128620,18098,4651,,56,128620,27974
"2020-03-18",155,32,,,12,416,67,87199,22068,,,100646,13447,3089,,56,100646,25157
"2020-03-17",123,23,,,13,325,55,65131,13945,,,75489,10358,3550,,56,75489,17495
"2020-03-16",100,21,,,6,,42,51186,16525,,,57994,6808,1494,,56,57994,18019
"2020-03-15",79,15,,,10,,36,34661,6553,,,39975,5314,1115,,51,39975,7668
"2020-03-14",64,9,,,4,,26,28108,3852,,,32307,4199,808,,51,32307,4660
"2020-03-13",55,4,,,6,,22,24256,8318,,,27647,3391,951,,51,27647,9269
"2020-03-12",51,8,,,5,,16,15938,4750,,,18378,2440,606,,51,18378,5356
"2020-03-11",43,6,,,3,,11,11188,3421,,,13022,1834,449,,51,13022,3870
"2020-03-10",37,2,,,0,,8,7767,2184,,,9152,1385,335,,51,9152,2519
"2020-03-09",35,4,,,2,,8,5583,1534,,,6633,1050,257,,51,6633,1791
"2020-03-08",31,4,,,0,,6,4049,716,,,4842,793,175,,51,4842,891
"2020-03-07",27,1,,,0,,6,3333,661,,,3951,618,160,,51,3951,821
"2020-03-06",26,6,,,1,,6,2672,723,,,3130,458,98,,37,3130,821
"2020-03-05",20,4,,,1,,5,1949,532,,,2309,360,101,,25,2309,633
"2020-03-04",16,2,,,4,,4,1417,971,,,1676,259,133,,18,1676,1104
"2020-03-03",14,3,,,0,,,446,203,,,572,126,41,,6,572,244
"2020-03-02",11,3,,,0,,,243,158,,,328,85,40,,6,328,198
"2020-03-01",8,3,,,0,,,85,61,,,130,45,27,,6,130,88
"2020-02-29",5,1,,,0,,,24,24,,,42,18,18,,4,42,42
"2020-02-28",4,2,,,0,,,0,0,,,0,0,0,,4,0,0
"2020-02-27",2,0,,,0,,,0,0,,,0,0,0,,4,0,0
"2020-02-26",2,2,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-25",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-24",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-23",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-22",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-21",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-20",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-19",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-18",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-17",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-16",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-15",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-14",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-13",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-12",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-11",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-10",0,0,,,0,,,0,0,,,0,0,0,,3,0,0
"2020-02-09",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-02-08",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-02-07",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-02-06",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-02-05",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-02-04",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-02-03",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-02-02",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-02-01",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-01-31",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-01-30",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-01-29",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-01-28",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-01-27",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-01-26",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-01-25",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-01-24",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-01-23",,0,,,0,,,0,0,,,0,0,0,,2,0,0
"2020-01-22",,0,,,0,,,0,0,,,0,0,0,,2,0,0